station_origin,station_destination,flow_changeA,flow_changeB1,flow_changeB2
Warwick Avenue,Tottenham Court Road,15,3,-23
Angel,Leicester Square,15,1,-22
Brixton,Ladbroke Grove,15,-4,-22
Lancaster Gate,Vauxhall,15,3,-22
Forest Hill,Wapping,15,-4,-21
Queens Road Peckham,Wapping,15,-4,-21
Woodside Park,Paddington,15,16,-21
Archway,Aldgate East,15,1,-20
Archway,Shepherd's Bush,15,4,-20
Embankment,Goodge Street,15,8,-20
Gunnersbury,London Bridge,15,-2,-20
Oval,Baker Street,15,3,-20
Arnos Grove,Westminster,15,-1,-19
Perivale,King's Cross St. Pancras,15,6,-19
Cannon Street,Piccadilly Circus,15,-12,-18
Clapham Common,Barbican,15,3,-18
East Finchley,Temple,15,6,-18
Belsize Park,Canary Wharf,15,9,-17
Canada Water,Clapham South,15,-11,-17
Finchley Central,Earl's Court,15,0,-17
High Street Kensington,Waterloo,15,5,-17
Rayners Lane,St. James's Park,15,-3,-17
Snaresbrook,Canning Town,15,19,-17
St. John's Wood,St. James's Park,15,-1,-17
Stanmore,Canada Water,15,1,-17
White City,Highbury & Islington,15,-3,-17
Balham,St. John's Wood,15,5,-16
Bank and Monument,Bromley-by-Bow,15,-13,-16
Kennington,Tower Hill,15,9,-16
Kentish Town,Chancery Lane,15,18,-16
Lancaster Gate,Old Street,15,2,-16
Highgate,Shepherd's Bush,15,7,-15
Leytonstone,Edgware Road,15,-4,-15
Paddington,Chiswick Park,15,-5,-15
Willesden Green,Notting Hill Gate,15,4,-15
Colliers Wood,Seven Sisters,15,-7,-14
East Acton,Euston,15,3,-14
Highgate,Mansion House,15,0,-14
North Greenwich,Regent's Park,15,-5,-14
Oval,Temple,15,15,-14
Paddington,Harrow-on-the-Hill,15,-9,-14
Aldgate,Bond Street,15,-4,-13
Bow Road,North Greenwich,15,17,-13
Clapham North,Baker Street,15,4,-13
Denmark Hill,Wapping,15,-3,-13
Hammersmith,Barking,15,-6,-13
Harrow-on-the-Hill,High Street Kensington,15,4,-13
Highgate,Edgware Road,15,1,-13
Loughton,Vauxhall,15,9,-13
Northolt,Earl's Court,15,10,-13
Prince Regent,Heron Quays,15,-8,-13
Stockwell,Mile End,15,-6,-13
Tottenham Court Road,Westminster,15,1,-13
Woodford,Charing Cross,15,1,-13
Elm Park,Hammersmith,15,9,-12
Euston,Holland Park,15,-7,-12
Hainault,South Kensington,15,10,-12
Honor Oak Park,Wapping,15,1,-12
Leyton,West Hampstead,15,-6,-12
Liverpool Street,Clapham North,15,-10,-12
Mile End,Covent Garden,15,2,-12
Morden,Wembley Park,15,5,-12
Wimbledon Park,Bond Street,15,1,-12
Borough,Farringdon,15,7,-11
Colliers Wood,High Street Kensington,15,4,-11
Epping,South Kensington,15,13,-11
Loughton,South Kensington,15,8,-11
Preston Road,Old Street,15,4,-11
Tooting Bec,Bethnal Green,15,1,-11
Tottenham Hale,Finchley Road,15,-3,-11
Woodford,Great Portland Street,15,7,-11
Barking,Camden Road,15,24,-10
Blackhorse Road,Borough,15,-4,-10
Burnt Oak,Chancery Lane,15,5,-10
Canning Town,Ladbroke Grove,15,-4,-10
Elm Park,South Kensington,15,8,-10
Finchley Road,Notting Hill Gate,15,3,-10
Gunnersbury,Warren Street,15,3,-10
Highbury & Islington,Ravenscourt Park,15,-6,-10
Hounslow Central,Canada Water,15,-1,-10
Lewisham,Gallions Reach,15,1,-10
Limehouse,West Silvertown,15,-5,-10
Pinner,Embankment,15,0,-10
Swiss Cottage,Shepherd's Bush,15,6,-10
Wood Green,Bethnal Green,15,5,-10
Camden Town,Chalk Farm,15,90,-9
Canada Water,Westbourne Park,15,-3,-9
Colindale,Marylebone,15,4,-9
East Acton,St. James's Park,15,1,-9
Epping,Embankment,15,2,-9
Euston,Parsons Green,15,-5,-9
Euston,Richmond,15,-2,-9
High Street Kensington,Euston,15,4,-9
Highams Park,London Fields,15,14,-9
Oxford Circus,Southwark,15,-4,-9
Sudbury Town,London Bridge,15,5,-9
Swiss Cottage,Marble Arch,15,15,-9
Waterloo,Harrow & Wealdstone,15,-5,-9
West Hampstead,Hyde Park Corner,15,2,-9
Angel,Canning Town,15,-3,-8
Barking,Wembley Park,15,4,-8
Edmonton Green,Bush Hill Park,15,22,-8
Gants Hill,Earl's Court,15,3,-8
Hainault,West Ham,15,4,-8
Highbury & Islington,East Putney,15,0,-8
Kingsbury,Embankment,15,1,-8
London City Airport,Star Lane,15,-2,-8
North Acton,Sloane Square,15,9,-8
Putney Bridge,Southwark,15,-2,-8
Ravenscourt Park,Waterloo,15,0,-8
Richmond,Acton Town,15,26,-8
South Wimbledon,Aldgate,15,6,-8
West Ham,West Brompton,15,-5,-8
Bank and Monument,Kilburn,15,-5,-7
Barking,Tooting Broadway,15,0,-7
Becontree,Baker Street,15,5,-7
Becontree,Vauxhall,15,7,-7
Carpenders Park,Kensington,15,-3,-7
Clapham Common,High Street Kensington,15,7,-7
Dollis Hill,Embankment,15,2,-7
Gloucester Road,Canning Town,15,-4,-7
Goldhawk Road,London Bridge,15,-1,-7
Heathrow Terminals 2 & 3,Whitechapel,15,1,-7
Highbury & Islington,East Finchley,15,3,-7
Kennington,Brixton,15,25,-7
Lancaster Gate,Angel,15,6,-7
Northwick Park,Whitechapel,15,2,-7
Prince Regent,Royal Victoria,15,24,-7
Southfields,Finsbury Park,15,0,-7
Upminster Bridge,Oxford Circus,15,8,-7
Uxbridge,Embankment,15,3,-7
Wanstead,Warren Street,15,7,-7
West Hampstead,Barons Court,15,-2,-7
Wimbledon,Holland Park,15,10,-7
Alperton,Vauxhall,15,11,-6
Archway,Marble Arch,15,18,-6
Balham,Swiss Cottage,15,2,-6
Barking,Leytonstone,15,10,-6
Brixton,Royal Oak,15,0,-6
Canning Town,Clapham North,15,-3,-6
Clapham North,Mansion House,15,6,-6
Ealing Broadway,Hounslow East,15,4,-6
Eastcote,Embankment,15,1,-6
Finchley Central,Walthamstow Central,15,1,-6
Greenford,Waterloo,15,7,-6
Hanger Lane,Whitechapel,15,4,-6
Heathrow Terminal 5,Stratford,15,-1,-6
Kenton,Waterloo,15,4,-6
Moorgate,South Kensington,15,-3,-6
Perivale,Euston,15,8,-6
Plaistow,Leicester Square,15,2,-6
Shepherd's Bush Market,Westminster,15,-1,-6
Stonebridge Park,Moorgate,15,2,-6
Tooting Bec,Barking,15,1,-6
Warren Street,Paddington,15,4,-6
Wembley Central,St. James's Park,15,4,-6
White City,Embankment,15,1,-6
Woodford,Earl's Court,15,4,-6
Barking,Balham,15,1,-5
Barking,Willesden Junction,15,5,-5
Bayswater,Moorgate,15,0,-5
Belsize Park,Russell Square,15,11,-5
Buckhurst Hill,Green Park,15,8,-5
Burnt Oak,Temple,15,5,-5
Canada Water,South Wimbledon,15,-3,-5
Chiswick Park,Waterloo,15,8,-5
East Ham,Mornington Crescent,15,3,-5
Embankment,Angel,15,2,-5
Gants Hill,West Brompton,15,2,-5
Goldhawk Road,Earl's Court,15,11,-5
Lancaster Gate,Covent Garden,15,9,-5
Lancaster Gate,Holland Park,15,18,-5
Northfields,Edgware Road,15,3,-5
Preston Road,Embankment,15,0,-5
Queensbury,Seven Sisters,15,2,-5
Ravenscourt Park,Tottenham Court Road,15,2,-5
Royal Victoria,Pontoon Dock,15,6,-5
South Ealing,Whitechapel,15,2,-5
South Woodford,Camden Town,15,9,-5
Tottenham Court Road,Highbury & Islington,15,1,-5
Warwick Avenue,Leicester Square,15,3,-5
White City,Leicester Square,15,5,-5
Wimbledon Park,Chancery Lane,15,3,-5
Baker Street,Bethnal Green,15,0,-4
Bow Road,Goodge Street,15,6,-4
Brixton,Wembley Central,15,5,-4
Camden Town,Mansion House,15,2,-4
Dagenham East,Vauxhall,15,9,-4
Earl's Court,Kentish Town,15,2,-4
East Finchley,Barking,15,5,-4
East Finchley,Walthamstow Central,15,2,-4
Golders Green,Bethnal Green,15,6,-4
Goldhawk Road,Highbury & Islington,15,0,-4
Haggerston,Willesden Junction,15,-1,-4
Hatch End,Hampstead Heath,15,3,-4
Hendon Central,West Brompton,15,2,-4
Homerton,Denmark Hill,15,3,-4
Kentish Town,Blackfriars,15,11,-4
Lancaster Gate,Marylebone,15,8,-4
Loughton,Barking,15,16,-4
Parsons Green,Marylebone,15,3,-4
Totteridge & Whetstone,Green Park,15,11,-4
Turnpike Lane,Willesden Junction,15,6,-4
Upney,Euston,15,4,-4
Walthamstow Central,Wembley Central,15,11,-4
West Finchley,Whitechapel,15,5,-4
Woodford,West Brompton,15,2,-4
Acton Town,Aldgate,15,4,-3
Aldgate,Vauxhall,15,1,-3
Balham,Stepney Green,15,4,-3
Bank and Monument,Harrow-on-the-Hill,15,-2,-3
Belsize Park,Marble Arch,15,14,-3
Brent Cross,Whitechapel,15,5,-3
Chalk Farm,Russell Square,15,11,-3
Chancery Lane,Leicester Square,15,15,-3
Chesham,Highbury & Islington,15,11,-3
Chingford,London Fields,15,15,-3
Clapham Junction,North Wembley,15,4,-3
Devons Road,East India,15,5,-3
Dollis Hill,Leicester Square,15,7,-3
Eastcote,Seven Sisters,15,3,-3
Elm Park,Shepherd's Bush,15,9,-3
Golders Green,North Greenwich,15,7,-3
Hendon Central,Marylebone,15,7,-3
Holloway Road,Canning Town,15,2,-3
Hornchurch,Hammersmith,15,9,-3
Hounslow Central,Embankment,15,2,-3
Lancaster Gate,Elephant & Castle,15,5,-3
Leytonstone,Wimbledon,15,18,-3
London City Airport,Lewisham,15,4,-3
Loughton,Leicester Square,15,6,-3
Maida Vale,Leicester Square,15,7,-3
Northolt,Marylebone,15,7,-3
Northwood,Canning Town,15,4,-3
Perivale,St. James's Park,15,5,-3
Preston Road,Leicester Square,15,5,-3
Queensbury,Aldgate East,15,6,-3
Rayners Lane,Camden Town,15,9,-3
South Kensington,Holland Park,15,9,-3
Stamford Brook,Chancery Lane,15,5,-3
Walthamstow Queens Road,Kensal Rise,15,4,-3
Wembley Park,Balham,15,3,-3
Westbourne Park,Earl's Court,15,8,-3
Westminster,Farringdon,15,6,-3
Willesden Junction,Cannon Street,15,0,-3
Baker Street,Borough,15,1,-2
Blackhorse Road,Archway,15,8,-2
Bond Street,Great Portland Street,15,6,-2
Bow Road,Finsbury Park,15,4,-2
Brent Cross,Canada Water,15,4,-2
Brentwood,Maryland,15,0,-2
Canning Town,Mudchute,15,7,-2
Chiswick Park,Moorgate,15,3,-2
Clapham Common,West Hampstead,15,2,-2
Clapham Junction,Kilburn High Road,15,9,-2
Clapham South,Finchley Road,15,3,-2
Dollis Hill,Old Street,15,11,-2
Ealing Broadway,Colindale,15,5,-2
Edgware,West Brompton,15,4,-2
Green Park,Goodge Street,15,11,-2
Greenford,Leicester Square,15,6,-2
Hackney Downs,Rectory Road,15,24,-2
Hammersmith,Maida Vale,15,7,-2
Harrow-on-the-Hill,Balham,15,3,-2
Hillingdon,Canada Water,15,1,-2
Holland Park,Edgware Road,15,8,-2
Holland Park,Gloucester Road,15,16,-2
London City Airport,Custom House,15,4,-2
London City Airport,Cutty Sark,15,2,-2
Loughton,Finsbury Park,15,9,-2
Maida Vale,Kilburn Park,15,85,-2
Mill Hill East,Baker Street,15,11,-2
Moorgate,Russell Square,15,1,-2
New Cross Gate,Homerton,15,2,-2
North Greenwich,Lambeth North,15,0,-2
North Wembley,Moorgate,15,3,-2
Paddington,Leyton,15,0,-2
Pinner,Camden Town,15,10,-2
Queensbury,Finsbury Park,15,6,-2
Ravenscourt Park,Warren Street,15,3,-2
South Hampstead,Queen's Park,15,40,-2
South Ruislip,Whitechapel,15,6,-2
Stanmore,Aldgate East,15,8,-2
Stratford,Watford High Street,15,5,-2
Sydenham,Hackney Wick,15,1,-2
Tooting Bec,Finchley Road,15,2,-2
Tooting Bec,Willesden Junction,15,5,-2
Uxbridge,Ealing Broadway,15,40,-2
Waterloo,Kenton,15,1,-2
West Brompton,Angel,15,4,-2
West Brompton,Barbican,15,2,-2
West Kensington,Marble Arch,15,9,-2
Woodside Park,Temple,15,9,-2
Acton Town,Marylebone,15,6,-1
Anerley,Denmark Hill,15,11,-1
Archway,Finchley Road,15,4,-1
Archway,Walthamstow Central,15,3,-1
Arsenal,Goodge Street,15,12,-1
Barons Court,Putney Bridge,15,8,-1
Boston Manor,Highbury & Islington,15,8,-1
Chiswick Park,Highbury & Islington,15,5,-1
Clapton,Hampstead Heath,15,11,-1
Ealing Broadway,Bayswater,15,8,-1
East Putney,West Ham,15,1,-1
Edgware,Cannon Street,15,4,-1
Finsbury Park,Harrow & Wealdstone,15,6,-1
Golders Green,Barking,15,6,-1
Goldhawk Road,Vauxhall,15,5,-1
Great Portland Street,Piccadilly Circus,15,9,-1
Haggerston,Gunnersbury,15,1,-1
Hampstead,Southwark,15,5,-1
Harrow-on-the-Hill,Queen's Park,15,11,-1
High Street Kensington,Holland Park,15,26,-1
Highams Park,Stoke Newington,15,9,-1
Holloway Road,Sloane Square,15,7,-1
Kenton,Vauxhall,15,8,-1
Kenton,Westminster,15,4,-1
Kilburn,Walthamstow Central,15,4,-1
Kilburn Park,Leicester Square,15,8,-1
King's Cross St. Pancras,Wembley Central,15,3,-1
Ladbroke Grove,West Brompton,15,7,-1
Lancaster Gate,Fulham Broadway,15,8,-1
Leytonstone,Willesden Junction,15,6,-1
Marble Arch,Goodge Street,15,11,-1
Marylebone,Ladbroke Grove,15,7,-1
Mill Hill East,Canada Water,15,7,-1
Mill Hill East,Whitechapel,15,8,-1
Mudchute,East India,15,3,-1
North Wembley,Warren Street,15,8,-1
Notting Hill Gate,Hyde Park Corner,15,9,-1
Oxford Circus,Mansion House,15,3,-1
Parsons Green,West Hampstead,15,2,-1
Ravenscourt Park,Stamford Brook,15,40,-1
Rayners Lane,Marylebone,15,8,-1
Richmond,Bethnal Green,15,7,-1
Richmond,Regent's Park,15,11,-1
Ruislip,Whitechapel,15,5,-1
Shadwell,Stratford High Street,15,-1,-1
Shepherd's Bush Market,High Street Kensington,15,10,-1
South Harrow,Whitechapel,15,7,-1
Southfields,Borough,15,3,-1
Southgate,Barking,15,10,-1
Southgate,Cannon Street,15,5,-1
Sudbury Hill,Warren Street,15,9,-1
Surrey Quays,Gospel Oak,15,0,-1
Tooting Bec,Parsons Green,15,5,-1
Tufnell Park,Seven Sisters,15,3,-1
Turnham Green,Seven Sisters,15,1,-1
Uxbridge,Aldgate East,15,10,-1
West Hampstead,Acton Town,15,3,-1
Whitechapel,Clapham Common,15,2,-1
Whitechapel,Holloway Road,15,2,-1
Willesden Green,Borough,15,3,-1
Wimbledon Park,St. Paul's,15,4,-1
Wood Lane,Highbury & Islington,15,5,-1
Aldgate,Charing Cross,15,4,0
All Saints,West Ham,15,2,0
Alperton,Embankment,15,5,0
Amersham,Whitechapel,15,8,0
Bank and Monument,Stratford High Street,15,0,0
Barbican,Chancery Lane,15,7,0
Barbican,Warren Street,15,4,0
Barons Court,Holland Park,15,7,0
Barons Court,Willesden Junction,15,6,0
Bayswater,Euston Square,15,11,0
Bayswater,Great Portland Street,15,11,0
Bayswater,Old Street,15,7,0
Blackhorse Road,Bromley-by-Bow,15,5,0
Blackhorse Road,Kentish Town West,15,16,0
Bond Street,Euston Square,15,7,0
Bond Street,Regent's Park,15,13,0
Bounds Green,Regent's Park,15,11,0
Brixton,Harrow & Wealdstone,15,8,0
Bush Hill Park,Finchley Road & Frognal,15,4,0
Camden Town,Regent's Park,15,11,0
Canada Water,Brondesbury Park,15,3,0
Cannon Street,Russell Square,15,2,0
Carpenders Park,Dalston Kingsland,15,2,0
Chalfont & Latimer,Warren Street,15,7,0
Chingford,Canonbury,15,6,0
Chiswick Park,Baker Street,15,9,0
Clapton,Homerton,15,7,0
Crossharbour,Woolwich Arsenal,15,13,0
Croxley,Canada Water,15,4,0
Croxley,Warren Street,15,6,0
Denmark Hill,Hackney Wick,15,2,0
Denmark Hill,Harlesden,15,4,0
Ealing Broadway,Harrow & Wealdstone,15,14,0
East Finchley,Knightsbridge,15,17,0
East Finchley,Swiss Cottage,15,7,0
Enfield Town,Kensal Rise,15,12,0
Enfield Town,Turkey Street,15,35,0
Finsbury Park,Dagenham Heathway,15,3,0
Fulham Broadway,West Kensington,15,17,0
Gloucester Road,Lancaster Gate,15,12,0
Gloucester Road,Willesden Junction,15,6,0
Golders Green,Wembley Park,15,8,0
Golders Green,Wimbledon,15,21,0
Great Portland Street,Marylebone,15,20,0
Gunnersbury,Acton Town,15,25,0
Hackney Central,Surrey Quays,15,1,0
Harrow-on-the-Hill,Kensington,15,9,0
Hendon Central,West Ham,15,3,0
Highbury & Islington,Clapham High Street,15,5,0
Highgate,West Ham,15,3,0
Hoxton,Hackney Central,15,5,0
Island Gardens,Woolwich Arsenal,15,21,0
Kennington,Lambeth North,15,9,0
Kew Gardens,High Street Kensington,15,10,0
Kilburn,Mornington Crescent,15,8,0
Kingsbury,Camden Town,15,11,0
Leyton Midland Road,Kensington,15,3,0
Maida Vale,Marble Arch,15,14,0
Marble Arch,Blackfriars,15,7,0
Mornington Crescent,Farringdon,15,14,0
New Cross,Imperial Wharf,15,4,0
Norwood Junction,Gunnersbury,15,3,0
Notting Hill Gate,Ladbroke Grove,15,11,0
Peckham Rye,Brockley,15,4,0
Pinner,Willesden Junction,15,14,0
Pudding Mill Lane,West Ham,15,4,0
Queen's Park,Ealing Broadway,15,12,0
Queen's Park,Hampstead Heath,15,18,0
Queen's Park,Swiss Cottage,15,8,0
Queensbury,Willesden Junction,15,14,0
Richmond,Queen's Park,15,17,0
Richmond,Swiss Cottage,15,9,0
Richmond,Tooting Broadway,15,5,0
Richmond,Walthamstow Central,15,5,0
Ruislip Gardens,Baker Street,15,10,0
Ruislip Gardens,Canada Water,15,6,0
Shepherd's Bush,Wembley Central,15,12,0
Silver Street,Finchley Road & Frognal,15,4,0
Silver Street,Imperial Wharf,15,5,0
Silver Street,Kentish Town West,15,10,0
South Wimbledon,West Ham,15,3,0
St. James's Park,St. Paul's,15,6,0
Stamford Brook,St. Paul's,15,5,0
Stratford,St James Street,15,1,0
Sudbury Hill,Euston,15,9,0
Surrey Quays,Hackney Wick,15,1,0
Theydon Bois,Highbury & Islington,15,10,0
Tottenham Hale,Kensington,15,6,0
Tower Hill,Walthamstow Central,15,1,0
Tufnell Park,Finsbury Park,15,7,0
Upton Park,Tottenham Hale,15,3,0
Uxbridge,Gunnersbury,15,21,0
Walthamstow Central,Harrow & Wealdstone,15,12,0
Walthamstow Central,South Acton,15,10,0
Wanstead Park,Kensington,15,3,0
Warwick Avenue,Goodge Street,15,8,0
Wembley Park,Belsize Park,15,15,0
West Brompton,Holland Park,15,10,0
West Croydon,Kensal Rise,15,9,0
West Kensington,Euston Square,15,6,0
West Kensington,Great Portland Street,15,6,0
Westbourne Park,Royal Oak,15,58,0
White Hart Lane,Hampstead Heath,15,12,0
White Hart Lane,Willesden Junction,15,5,0
Whitechapel,Blackhorse Road,15,1,0
Whitechapel,Hackney Wick,15,3,0
Whitechapel,Lancaster Gate,15,4,0
Willesden Junction,Walthamstow Central,15,4,0
Wimbledon,Belsize Park,15,13,0
Wood Lane,Warren Street,15,7,0
Wood Street,Caledonian Road & Barnsbury,15,4,0
Wood Street,Hoxton,15,6,0
Woodgrange Park,Richmond,15,5,0
Belsize Park,Covent Garden,15,10,1
Boston Manor,Northfields,15,113,1
Canons Park,Leicester Square,15,7,1
Clapton,Cambridge Heath,15,24,1
High Street Kensington,Queensway,15,32,1
Northolt,Angel,15,8,1
Sudbury Town,Shepherd's Bush,15,17,1
Wembley Central,Great Portland Street,15,11,1
Wembley Central,Leicester Square,15,8,1
West Ruislip,Euston,15,12,1
Becontree,Holborn,15,8,2
Kingsbury,Angel,15,11,2
Loughton,Temple,15,10,2
Northolt,Richmond,15,34,2
Northwood,Leicester Square,15,8,2
Kenton,Chancery Lane,15,8,3
North Harrow,Leicester Square,15,7,3
South Harrow,Shepherd's Bush,15,16,3
Upminster,King's Cross St. Pancras,15,13,3
Uxbridge,Tower Hill,15,9,3
Hornchurch,Piccadilly Circus,15,7,4
Eastcote,Waterloo,15,5,5
Stonebridge Park,South Kensington,15,15,5
Ruislip Manor,Chancery Lane,15,9,6
Eastcote,Paddington,15,15,7
Kingsbury,Blackfriars,15,11,7
Neasden,Blackfriars,15,10,7
Newbury Park,Goodge Street,15,10,7
South Ruislip,Waterloo,15,10,8
Uxbridge,Sloane Square,15,13,8
Wembley Central,Angel,15,11,8
Sudbury Hill,Farringdon,15,11,9
White Hart Lane,Clapham Junction,15,26,9
South Wimbledon,Knightsbridge,15,12,10
Boston Manor,Waterloo,15,11,11
Willesden Junction,Lancaster Gate,15,16,11
Upminster,London Bridge,15,12,13
Oakwood,Blackfriars,15,13,14
Eastcote,Piccadilly Circus,15,5,16
Hainault,Aldgate,15,12,16
West Ruislip,Waterloo,15,14,16
Epping,Goodge Street,15,12,17
Chorleywood,Oxford Circus,15,8,19
Osterley,Waterloo,15,10,22
Stonebridge Park,Bond Street,15,13,22
Boston Manor,Paddington,15,19,26
West Ruislip,South Kensington,15,18,27
Northwood Hills,Chancery Lane,15,11,29
Edgware,Covent Garden,15,10,34
Redbridge,Blackfriars,15,14,36
Eastcote,Blackfriars,15,9,37
Oakwood,Old Street,15,17,38
Hounslow East,Bond Street,15,7,40
Uxbridge,Marble Arch,15,16,42
Sudbury Hill,Bond Street,15,13,45
South Ruislip,Paddington,15,21,46
Elm Park,Barbican,15,8,47
Pinner,Green Park,15,8,49
Pinner,Marble Arch,15,13,51
North Harrow,Chancery Lane,15,11,54
Harrow-on-the-Hill,West Harrow,15,54,56
Redbridge,Old Street,15,19,59
Dagenham Heathway,St. Paul's,15,9,64
Watford,Tottenham Court Road,15,12,83
Harrow & Wealdstone,Oxford Circus,15,10,88
Canons Park,Tottenham Court Road,15,9,89
Stanmore,Holborn,15,16,116
Woodside Park,Holborn,15,18,169
Ruislip,Ruislip Manor,15,174,354
Turkey Street,Southbury,15,187,496
Kilburn Park,Maida Vale,15,113,704
Queen's Park,Kilburn Park,15,317,789
Leytonstone,Canning Town,16,49,-105
Blackwall,Canning Town,16,-10,-95
Walthamstow Central,Elephant & Castle,16,-10,-76
Earl's Court,Euston,16,-33,-70
Wood Green,Baker Street,16,13,-61
Queen's Park,Moorgate,16,-25,-59
Kew Gardens,Bank and Monument,16,-24,-53
Finchley Central,Vauxhall,16,8,-52
Archway,Canary Wharf,16,14,-51
Russell Square,Bank and Monument,16,-10,-51
Willesden Junction,Baker Street,16,7,-51
Kilburn Park,Bank and Monument,16,-15,-49
Colliers Wood,Paddington,16,1,-47
High Street Kensington,Victoria,16,37,-45
Stockwell,Shepherd's Bush,16,-13,-42
Walthamstow Central,St. John's Wood,16,5,-42
Leyton,South Kensington,16,-13,-41
Tufnell Park,Green Park,16,7,-41
Willesden Green,Hammersmith,16,7,-40
Colindale,St. James's Park,16,-10,-39
Queen's Park,Old Street,16,10,-38
Canning Town,White City,16,-17,-37
Colliers Wood,South Kensington,16,8,-36
Gloucester Road,Baker Street,16,-12,-34
Golders Green,St. James's Park,16,-6,-34
Lancaster Gate,Westminster,16,-7,-34
North Acton,London Bridge,16,-5,-33
Barons Court,Westminster,16,-18,-32
Queen's Park,Vauxhall,16,1,-32
Southfields,Old Street,16,-3,-31
Camden Town,Chancery Lane,16,15,-29
Morden,Seven Sisters,16,-13,-29
Parsons Green,Chancery Lane,16,-1,-28
Seven Sisters,Gunnersbury,16,-6,-28
Walthamstow Central,Swiss Cottage,16,-4,-28
Oxford Circus,London Bridge,16,-11,-26
Edgware Road,Great Portland Street,16,30,-25
Hendon Central,Hammersmith,16,6,-25
King's Cross St. Pancras,Balham,16,-21,-25
Wood Green,Camden Town,16,18,-25
Mile End,Elephant & Castle,16,0,-24
Wandsworth Road,Shepherd's Bush,16,-17,-24
High Barnet,Westminster,16,1,-23
Paddington,Harlesden,16,-1,-23
Upney,Oxford Circus,16,-2,-23
King's Cross St. Pancras,Richmond,16,-9,-22
Neasden,King's Cross St. Pancras,16,16,-22
Turnham Green,Euston,16,-6,-22
Preston Road,Paddington,16,9,-21
Gunnersbury,Paddington,16,17,-20
High Barnet,Hammersmith,16,18,-20
Archway,Tower Hill,16,2,-19
North Greenwich,West Brompton,16,-14,-19
Putney Bridge,Warren Street,16,1,-19
Wembley Park,Elephant & Castle,16,3,-19
Bush Hill Park,Bethnal Green,16,-6,-18
Kew Gardens,London Bridge,16,-2,-18
Northfields,Warren Street,16,-1,-18
Queensway,Highbury & Islington,16,-6,-18
Stockwell,West Hampstead,16,-12,-18
Upney,London Bridge,16,0,-18
Camden Town,St. Paul's,16,5,-17
Chancery Lane,St. Paul's,16,51,-17
Holloway Road,Westminster,16,-2,-17
Waterloo,Turnpike Lane,16,-14,-17
Canning Town,Barons Court,16,-11,-16
Euston,Bermondsey,16,-11,-16
Queensbury,Hammersmith,16,10,-16
South Woodford,Embankment,16,-3,-16
Stratford,Mudchute,16,0,-16
Ealing Broadway,Alperton,16,65,-15
Hounslow East,London Bridge,16,0,-15
Oakwood,Moorgate,16,3,-15
East Putney,Barons Court,16,7,-14
Highgate,Sloane Square,16,6,-14
Marble Arch,Euston,16,7,-14
Seven Kings,Harold Wood,16,-8,-14
Southfields,Marble Arch,16,10,-14
West Croydon,Hoxton,16,14,-14
Arnos Grove,St. James's Park,16,3,-13
Blackhorse Road,St. John's Wood,16,6,-13
Canada Water,Ravenscourt Park,16,-9,-13
Cutty Sark,Langdon Park,16,3,-13
Earl's Court,Seven Sisters,16,-10,-13
Highgate,Aldgate East,16,5,-13
Hounslow West,Moorgate,16,-2,-13
Oakwood,London Bridge,16,9,-13
Pinner,St. James's Park,16,1,-13
Sloane Square,Elephant & Castle,16,1,-13
Sudbury Town,King's Cross St. Pancras,16,7,-13
Tooting Broadway,Gunnersbury,16,6,-13
Wanstead,Green Park,16,8,-13
White City,Piccadilly Circus,16,5,-13
Canons Park,Canada Water,16,0,-12
Crystal Palace,Brockley,16,17,-12
East Finchley,Notting Hill Gate,16,4,-12
Highgate,Temple,16,8,-12
Hillingdon,Victoria,16,-2,-12
Kensal Green,Tottenham Court Road,16,11,-12
Ruislip,Victoria,16,7,-12
Totteridge & Whetstone,Baker Street,16,10,-12
Willesden Green,Elephant & Castle,16,3,-12
Barking,Bermondsey,16,6,-11
Queen's Park,Seven Sisters,16,-4,-11
South Ealing,Farringdon,16,4,-11
Stamford Brook,Waterloo,16,2,-11
West Hampstead,West Ham,16,-8,-11
West Kensington,Notting Hill Gate,16,13,-11
Canning Town,Wood Green,16,-6,-10
East Finchley,Gloucester Road,16,5,-10
Finchley Road,Tower Hill,16,0,-10
Hanger Lane,Euston,16,9,-10
Northolt,Edgware Road,16,4,-10
Russell Square,Highbury & Islington,16,4,-10
South Ruislip,King's Cross St. Pancras,16,10,-10
Tottenham Hale,Borough,16,-3,-10
Upton Park,Camden Town,16,4,-10
Archway,Marylebone,16,5,-9
Bank and Monument,Ladbroke Grove,16,-6,-9
Hendon Central,Edgware Road,16,3,-9
Hounslow East,Westminster,16,1,-9
Leyton,East Ham,16,10,-9
Leytonstone,Covent Garden,16,5,-9
Paddington,Manor House,16,-4,-9
Queensway,Leicester Square,16,6,-9
Tooting Broadway,Barons Court,16,1,-9
West Acton,King's Cross St. Pancras,16,4,-9
Belsize Park,Barbican,16,8,-8
Golders Green,Earl's Court,16,4,-8
Gunnersbury,Baker Street,16,7,-8
High Barnet,Shepherd's Bush,16,16,-8
Holland Park,Baker Street,16,9,-8
Hounslow East,Euston,16,4,-8
Ickenham,Oxford Circus,16,5,-8
South Quay,Westferry,16,1,-8
Southgate,Aldgate East,16,10,-8
Southgate,Shepherd's Bush,16,13,-8
Stratford,Woodside Park,16,-3,-8
Walthamstow Queens Road,Finchley Road & Frognal,16,-3,-8
