station_origin,station_destination,flow_changeA,flow_changeB1,flow_changeB2
Elephant & Castle,Piccadilly Circus,-403,-413,-529
Canary Wharf,Bond Street,-402,-489,-541
Old Street,London Bridge,-400,-384,-557
Tottenham Hale,Oxford Circus,-399,-416,-587
Barking,Whitechapel,-399,-384,-416
Newbury Park,Stratford,-399,-286,-275
Colliers Wood,Balham,-398,-328,-472
Blackfriars,Westminster,-397,-431,-515
Stratford,South Quay,-396,-329,-696
Canning Town,Green Park,-396,-530,-645
Canning Town,Custom House,-396,-287,-494
Canning Town,Stratford,-395,147,-1542
Baker Street,Liverpool Street,-395,-501,-580
Seven Sisters,Warren Street,-394,-396,-566
Beckton,Canning Town,-392,-409,-475
Wood Street,Liverpool Street,-391,-516,-610
Canning Town,Southwark,-391,-499,-538
Liverpool Street,Bond Street,-390,-596,-681
Ilford,Stratford,-389,565,1456
Waterloo,North Greenwich,-386,-507,-554
Tottenham Hale,King's Cross St. Pancras,-385,-364,-569
Brentwood,Shenfield,-383,133,365
Ealing Broadway,Bank and Monument,-382,-538,-745
Parsons Green,Wimbledon,-382,-335,-411
Euston,Waterloo,-381,-502,-652
Willesden Junction,Richmond,-381,-343,-404
Upney,Barking,-381,413,1264
Victoria,Vauxhall,-380,94,-1154
East Ham,West Ham,-378,-362,-492
Highbury & Islington,Hampstead Heath,-378,-340,-454
Paddington,Barbican,-374,-446,-528
West Hampstead,Bond Street,-374,-372,-95
Liverpool Street,Oxford Circus,-373,-735,-940
Dalston Kingsland,Highbury & Islington,-373,134,1518
Hackney Wick,Highbury & Islington,-371,-421,-470
Bank and Monument,London City Airport,-371,-390,-393
Hammersmith,Paddington,-370,-280,-495
Southwark,Bond Street,-368,-392,-437
Wimbledon,East Putney,-368,-243,-400
Cannon Street,St. James's Park,-368,-394,-397
Royal Victoria,Canning Town,-367,179,1228
Finsbury Park,Holborn,-366,-198,-301
Ealing Broadway,Liverpool Street,-364,-498,-677
London Bridge,Baker Street,-364,-523,-592
Stratford,Langdon Park,-364,-50,-485
Highbury & Islington,Stratford,-363,-633,-949
Blackfriars,Tower Hill,-363,-359,-443
Walthamstow Central,Finsbury Park,-362,-298,-528
Angel,Bank and Monument,-361,-350,-590
Stockwell,Bank and Monument,-359,-397,-859
West Ham,Canary Wharf,-359,-12,-604
Blackhorse Road,Victoria,-357,-388,-485
Blackfriars,Embankment,-357,-372,-479
Ealing Broadway,St. Paul's,-357,-394,-435
North Greenwich,Bond Street,-356,-423,-477
Morden,Bank and Monument,-354,-332,145
Kew Gardens,Richmond,-354,231,1826
Paddington,Liverpool Street,-353,-620,-937
St. John's Wood,Canary Wharf,-353,-361,-386
Willesden Junction,Clapham Junction,-353,-279,-249
Tooting Broadway,Bank and Monument,-352,-343,175
Lancaster Gate,St. Paul's,-350,-363,-386
Lewisham,South Quay,-349,-231,-652
Cannon Street,Aldgate East,-349,-373,-383
Harrow-on-the-Hill,Farringdon,-349,-351,-218
Angel,London Bridge,-348,-364,-436
North Greenwich,Southwark,-347,-417,-441
Highbury & Islington,Hoxton,-347,-301,-430
Embankment,South Kensington,-346,-365,-380
Canada Water,New Cross,-346,-16,273
London City Airport,Bank and Monument,-345,-552,-636
Farringdon,Moorgate,-344,-217,-592
Langdon Park,Stratford,-340,-474,-597
Canning Town,Royal Albert,-340,-287,-390
Royal Victoria,Tower Gateway,-338,-342,-361
Aldgate,Euston Square,-338,-348,-353
Euston,Canary Wharf,-337,-427,-478
Euston Square,Barbican,-337,-354,-387
Seven Sisters,Silver Street,-336,-331,-395
Bank and Monument,Cutty Sark,-335,-357,-360
Balham,Old Street,-335,-331,-321
Stockwell,Moorgate,-334,-424,-519
Shepherd's Bush,Imperial Wharf,-334,-326,-373
Romford,Stratford,-333,-126,-985
Brixton,Euston,-332,-388,-588
Stratford,Hampstead Heath,-332,-344,-444
Victoria,Paddington,-331,-487,-720
Island Gardens,Bank and Monument,-331,-475,-532
London Bridge,North Greenwich,-331,-400,-429
Sloane Square,Blackfriars,-331,-344,-375
Woolwich Arsenal,West Ham,-328,-500,-608
Ealing Broadway,Hammersmith,-327,102,2184
Stratford,Goodmayes,-326,-377,-380
Swiss Cottage,Canary Wharf,-326,-339,-362
Whitechapel,Shoreditch High Street,-326,873,3190
Waterloo,Baker Street,-325,-614,-952
Canada Water,New Cross Gate,-325,-286,-422
Tottenham Hale,Vauxhall,-325,-356,-401
Tooting Bec,Moorgate,-323,-383,-434
Embankment,St. James's Park,-323,-329,-411
Wembley Central,Willesden Junction,-323,-270,-319
White Hart Lane,Seven Sisters,-323,-146,-282
Victoria,Seven Sisters,-322,-428,-442
Carpenders Park,Watford Junction,-322,34,390
Seven Sisters,Finsbury Park,-321,119,-493
Canning Town,Prince Regent,-321,-238,-394
Ealing Broadway,Chancery Lane,-321,-341,-306
King's Cross St. Pancras,Moorgate,-320,-576,-899
South Wimbledon,Bank and Monument,-320,-346,-310
Canning Town,Canary Wharf,-320,2926,10947
Victoria,Finsbury Park,-318,-409,-434
Earl's Court,Mansion House,-318,-349,-360
Bank and Monument,Angel,-317,-417,-518
Wimbledon,West Brompton,-317,-315,-382
Bethnal Green,Tottenham Court Road,-316,-329,-399
Blackfriars,Cannon Street,-315,-290,-422
Elephant & Castle,Paddington,-315,-353,-394
Wimbledon,Parsons Green,-314,-272,-358
Dalston Junction,Whitechapel,-313,-416,-668
Marylebone,Victoria,-313,-357,-439
Wimbledon,Earl's Court,-312,-292,-373
North Greenwich,Canada Water,-311,-330,-595
Highbury & Islington,Haggerston,-311,-293,-375
Canada Water,Green Park,-310,-441,-714
Tower Hill,Westminster,-310,-373,-395
Sloane Square,Canary Wharf,-310,-332,-356
